Model,default-0,default-1,default-2,default-3,rationale-0,rationale-1,rationale-2,task-info-0,task-info-1,task-info-2,binary,checklist,confidence
EDT-Former,40.22,36.36,39.78,36.76,38.37,39.68,45.16,32.26,42.67,39.76,40.00,36.11,46.91
EDT-Former (0_32),40.54,,,,33.96,,,44.23,,,55.56,39.25,59.78
EDT-Former (16_16),39.29,,,,38.78,,,40.35,,,41.30,37.50,55.68
EDT-Former (32_0),38.82,,,,46.34,,,38.82,,,35.25,46.05,42.11
Llama2,40.13,36.84,38.82,38.82,39.47,38.82,39.47,38.00,37.50,38.82,38.82,42.11,38.82
Llama3.1,40.13,38.16,38.82,43.42,38.82,41.45,38.82,40.79,38.16,46.71,39.47,38.16,42.76
Mol-Instructions-Llama2,38.82,40.13,49.34,51.97,38.82,38.16,38.82,38.82,45.39,40.79,48.03,39.47,45.39
Mol-Instructions-Llama3.1,46.05,55.92,37.50,52.63,46.71,61.18,60.53,55.26,44.08,44.74,38.82,53.29,41.45
Mol-Llama2,,48.68,40.67,52.98,,39.07,38.82,,38.57,38.46,44.74,38.16,38.82
Mol-Llama3.1,37.50,39.29,38.19,39.86,39.47,40.54,36.67,38.03,35.51,38.81,40.40,37.14,41.45
