Model,default-0,default-1,default-2,default-3,rationale-0,rationale-1,rationale-2,task-info-0,task-info-1,task-info-2,binary,checklist,confidence
EDT-Former,47.25,18.37,14.42,11.58,43.88,8.97,8.64,56.70,10.53,9.90,47.17,17.54,53.26
EDT-Former (0_32),42.11,,,,40.82,,,61.29,,,32.14,21.77,67.35
EDT-Former (16_16),39.00,,,,39.22,,,53.00,,,42.86,21.60,59.34
EDT-Former (32_0),92.41,,,,,,,65.52,,,12.87,9.66,38.46
Llama2,91.03,11.72,7.59,7.59,83.45,8.97,7.59,71.72,9.66,7.59,8.28,15.86,7.59
Llama3.1,88.28,9.66,7.59,17.93,91.03,8.97,8.97,15.86,14.48,19.31,8.97,10.34,9.66
Mol-Instructions-Llama2,25.52,30.34,46.90,57.93,15.17,8.97,13.79,17.93,17.93,23.45,40.69,17.93,21.38
Mol-Instructions-Llama3.1,75.86,48.28,30.34,52.41,80.00,92.41,91.72,77.24,32.41,34.48,22.07,75.86,22.07
Mol-Llama2,,28.47,25.00,48.97,,8.28,7.64,,12.95,12.68,37.24,7.59,7.64
Mol-Llama3.1,88.28,9.29,9.42,7.91,86.81,10.07,9.86,14.69,8.11,13.33,17.14,9.16,15.86
