Model,default-0,default-1,default-2,default-3,rationale-0,rationale-1,rationale-2,task-info-0,task-info-1,task-info-2,binary,checklist,confidence
EDT-Former,83.33,80.52,84.29,78.46,78.00,82.09,78.79,85.56,85.19,77.42,62.50,70.97,44.12
EDT-Former (0_32),76.67,,,,83.05,,,83.87,,,63.41,68.89,48.48
EDT-Former (16_16),72.06,,,,81.03,,,79.59,,,58.14,73.91,49.28
EDT-Former (32_0),76.79,,,,83.16,,,84.35,,,78.89,80.00,70.00
Llama2,64.91,80.00,84.35,84.35,63.48,84.35,83.48,42.98,80.00,84.35,84.35,75.65,84.35
Llama3.1,69.57,80.87,84.35,70.43,69.30,84.35,84.35,66.09,80.87,80.00,85.22,84.35,80.87
Mol-Instructions-Llama2,78.26,79.13,62.61,46.96,73.91,81.74,83.48,64.35,66.09,73.04,73.04,82.61,80.87
Mol-Instructions-Llama3.1,45.22,46.09,63.48,41.74,51.30,15.65,15.65,30.43,77.39,75.65,77.19,40.87,81.74
Mol-Llama2,,68.70,65.79,33.91,,84.07,82.61,,81.82,72.81,54.78,84.35,84.21
Mol-Llama3.1,81.65,82.24,81.31,75.70,84.21,82.30,80.70,60.78,86.60,77.45,80.53,78.50,75.65
