Model,default-0,default-1,default-2,default-3,rationale-0,rationale-1,rationale-2,task-info-0,task-info-1,task-info-2,binary,checklist,confidence
EDT-Former,55.79,,,,56.62,,,62.96,,,,,
EDT-Former (0_32),60.98,,,,57.97,,,60.96,,,,,
EDT-Former (16_16),64.20,,,,60.22,,,66.04,,,,,
EDT-Former (32_0),73.28,,,,29.50,,,16.71,,,,,
Llama2,62.16,,,,56.22,,,28.36,,,,,
Llama3.1,48.03,,,,48.89,,,60.20,,,,,
Mol-Instructions-Llama2,72.24,,,,61.18,,,27.52,,,,,
Mol-Instructions-Llama3.1,25.06,,,,16.22,,,63.14,,,,,
Mol-Llama2,84.29,,,,84.54,,,73.70,,,,,
Mol-Llama3.1,57.36,,,,57.00,,,83.54,,,,,
